"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Reliable Code Generation with Test Case Prioritization and Cognitive Validation","L. Huang; X. Yin; X. Li; C. Ni","The State Key Laboratory of Blockchain and Data Security, Zhejiang University, Hangzhou, China; The State Key Laboratory of Blockchain and Data Security, Zhejiang University, Hangzhou, China; The State Key Laboratory of Blockchain and Data Security, Zhejiang University, Hangzhou, China; The State Key Laboratory of Blockchain and Data Security, Zhejiang University, Hangzhou, China",2025 32nd Asia-Pacific Software Engineering Conference (APSEC),"24 Feb 2026","2025","","","104","114","Large Language Models (LLMs) have shown impressive capabilities in code generation. However, they often struggle in complex programming scenarios due to incomplete semantic understanding and limited ability to correct misunderstandinginduced errors. While recent efforts have incorporated test cases to guide task comprehension, they typically overlook the quality and relevance of the test cases, reducing their effectiveness in steering accurate code generation. To overcome these limitations, we present PriGen, a multiagent collaborative framework for prioritized and test case driven code generation. PriGen introduces a novel test case prioritization mechanism that selects a high-value subset based on semantic coverage, boundary sensitivity, and error-triggering potential. These curated test cases assist in refining the LLM’s task understanding. Additionally, PriGen integrates a Cognitive Validation Loop, which iteratively verifies and improves the model’s comprehension through interactive evaluation and dynamic test injection, ensuring semantic alignment before code synthesis. We evaluate PriGen on two enhanced benchmarks, HumanEvalET and MBPP-ET, using three representative open-source LLMs: DeepSeek-Coder, Qwen2.5-Coder, and Llama-3.1. Experimental results show that PriGen consistently outperforms state-of-the-art baselines in both correctness and efficiency, demonstrating its effectiveness and generalizability in enhancing LLM-based code generation.","2640-0715","979-8-3315-6653-1","10.1109/APSEC66846.2025.00021","National Natural Science Foundation of China; Fundamental Research Funds for the Central Universities; Research and Development; State Street; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11396553","Large Language Model;Code Generation;Test Case Prioritization","Codes;Accuracy;Sensitivity;Large language models;Semantics;Collaboration;Programming;Reliability;Sorting;Software engineering","","","","36","IEEE","24 Feb 2026","2-5 Dec. 2025","2-5 Dec. 2025","IEEE","IEEE Conferences"
"Evaluation of the Code Generated By Large Language Models: The State of the Art","Z. Ying; D. Towey; Y. Zhang","School of Computer Science, University of Nottingham Ningbo China, Zhejiang, People’s Republic of China; School of Computer Science, University of Nottingham Ningbo China, Zhejiang, People’s Republic of China; School of Computer Science, University of Nottingham Ningbo China, Zhejiang, People’s Republic of China","2025 IEEE 49th Annual Computers, Software, and Applications Conference (COMPSAC)","26 Aug 2025","2025","","","440","449","The rapid development of Large Language Models (LLMs), such as ChatGPT and DeepSeek, has revolutionized software development, particularly in the domain of automated code generation. These models, built on architectures like the Transformer, have demonstrated remarkable capabilities in generating human-like text and source code, significantly enhancing developer productivity and reducing development time. However, the widespread adoption of LLMs for code generation raises concerns regarding the reliability, quality, and potential risks associated with the generated code. This article illustrates and analyzes the state of the art in evaluating LLM-generated code, summarizing research findings, and application areas. This paper highlights the challenges in distinguishing between machine-generated and human-written code, as well as the potential for LLMs to introduce security vulnerabilities and maintainability issues. We discuss the implications of these findings for both researchers and practitioners, emphasizing the need for continued research in the evaluation of LLM-generated code. Finally, we identify gaps in the literature and propose future research directions, such as the development of more robust benchmarks and improved evaluation metrics. By providing a thorough overview of the current landscape, this paper provides a valuable resource for researchers and practitioners interested in LLM’s code generation capabilities and limitations. We also highlight the importance of ongoing evaluation and refinement of these models to ensure their safe and effective integration into software-development practices.","2836-3795","979-8-3315-7434-5","10.1109/COMPSAC65507.2025.00064","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11126696","Artificial intelligence;large language model;code generation;code evaluation;code error","Productivity;Measurement;Codes;Large language models;Benchmark testing;Chatbots;Software reliability;Security;Research and development;Software development management","","2","","57","IEEE","26 Aug 2025","8-11 July 2025","8-11 July 2025","IEEE","IEEE Conferences"
"LLM-Based Generation of Solidity Smart Contracts from System Requirements in Natural Language: The AstraKode Case","G. De Vito; D. D'Amici; F. Izzo; F. Ferrucci; D. Di Nucci","Software Engineering (SeSa) Lab - University of Salerno, Salerno, Italy; AstraKode S.r.l., Pescara, Italy; AstraKode S.r.l., Pescara, Italy; Software Engineering (SeSa) Lab - University of Salerno, Salerno, Italy; Software Engineering (SeSa) Lab - University of Salerno, Salerno, Italy","2025 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)","21 May 2025","2025","","","170","180","As blockchain technology continues to evolve, the need for accessible solutions for developing smart contracts has grown, especially for non-technical users. This paper addresses practitioners' challenges in generating Solidity smart contracts from natural language requirements within the AstraKode Blockchain no-code platform (AKB). Our goal is to lower the barrier of entry into smart contract development, making it more accessible to users with limited technical expertise. We propose three methods, i.e., Naive Generation, Augmented Generation, and Enhanced Generation, each utilizing large language models to streamline the code generation process. These methods cater to different user needs, from rapid prototyping to handling complex business scenarios, improving accessibility and usability within AKB. We demonstrate their practical relevance, potential, and limitations in addressing real-world challenges in smart contract development through empirical evaluations and practitioner feedback. Thanks to collaboration with academia and effective knowledge transfer, these methods provide innovative solutions to the challenges of smart contract generation. Furthermore, they have been integrated into AKB to enhance user services, ultimately promoting the development and deployment of secure and efficient smart contracts in the industry.","2640-7574","979-8-3315-3510-0","10.1109/SANER64311.2025.00024","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10992387","Smart Contracts;No-Code Platform;Code Generation;Large Language Model","Industries;Codes;Large language models;Smart contracts;Natural languages;Rapid prototyping;Software;Blockchains;Usability;Knowledge transfer","","1","","34","IEEE","21 May 2025","4-7 March 2025","4-7 March 2025","IEEE","IEEE Conferences"
"Securing AI Code Generation - A Prompt Rectification Approach for Mitigating Cyber Risks","J. Dong; Z. Ni; N. Sun; S. Jha; Y. Zhang; E. Bertino; S. Nepal; S. Ma","University of New South Wales, Sydney, Australia; University of New South Wales, Sydney, Australia; University of New South Wales, Sydney, Australia; University of New South Wales, Sydney, Australia; Purdue University, West Lafayette, Indiana, USA; Purdue University, West Lafayette, Indiana, USA; CSIRO’s Data61, Sydney, Australia; University of Wollongong, Wollongong, Australia","2025 IEEE 24th International Conference on Trust, Security and Privacy in Computing and Communications (TrustCom)","2 Feb 2026","2025","","","914","925","The past decade has witnessed the wide adoption of AI code generators, such as GitHub Copilot, AskCodi, and OpenAI Codex. They offer intelligent solution code for code completion to achieve faster development, cleaner code, and a significant boost in overall productivity. However, such significant productivity advantages also inadvertently lead to the generation of insecure solution code because most AI code generators derive their knowledge from existing projects, which typically prioritize functionality over security. Although numerous tools have been developed to integrate with the code generators for identifying vulnerabilities, the inconsistency in syntactic features and variability in coding rules make the detection task challenging across different programming languages. To address the challenges, we devise a prompt-enhancing approach, PECKER. It examines textual prompts provided by users to identify risky prompts that could lead to insecure code generation. Given the risky prompts, PECKER conducts security-centric rewriting to strengthen the ""potentially insecure"" descriptions, thereby guiding AI code generators in mitigating vulnerabilities during code generation. We integrated PECKER with one of the most prevalent AI code generators, GitHub Copilot for evaluation. Among 509 risky prompts, PECKER successfully identified and rectified 471 risky prompts.","2324-9013","979-8-3315-6532-9","10.1109/Trustcom66490.2025.00106","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11354845","secure code generation;prompt optimization;cyber security;large language model","Productivity;Privacy;Codes;Syntactics;Programming;Generators;Security;Artificial intelligence;Optimization;Software development management","","","","52","IEEE","2 Feb 2026","14-17 Nov. 2025","14-17 Nov. 2025","IEEE","IEEE Conferences"
"VRank: Enhancing Verilog Code Generation from Large Language Models via Self-Consistency","Z. Zhao; R. Qiu; I. -C. Lin; G. L. Zhang; B. Li; U. Schlichtmann","Chair of Electronic Design Automation, Technical University of Munich (TUM), Munich, Germany; Chair of Electronic Design Automation, Technical University of Munich (TUM), Munich, Germany; Computer Architecture and IC Design, National Cheng Kung University; Hardware for Artificial Intelligence Group, Technical University of Darmstadt; Research Group of Digital Integrated Systems, University of Siegen; Chair of Electronic Design Automation, Technical University of Munich (TUM), Munich, Germany",2025 26th International Symposium on Quality Electronic Design (ISQED),"30 May 2025","2025","","","1","7","Large Language Models (LLMs) have demonstrated promising capabilities in generating Verilog code from module specifications. To improve the quality of such generated Verilog codes, previous methods require either time-consuming manual inspection or generation of multiple Verilog codes, from which the one with the highest quality is selected with manually designed testbenches. To enhance the generation efficiency while maintaining the quality of the generated codes, we propose VRank, an automatic framework that generates Verilog codes with LLMs. In our framework, multiple code candidates are generated with LLMs by leveraging their probabilistic nature. Afterwards, we group Verilog code candidates into clusters based on identical outputs when tested against the same testbench, which is also generated by LLMs. Clusters are ranked based on the consistency they show on testbench. To determine the best candidate, Chain-of-Thought is further applied to select the best candidate from the top-ranked clusters. By systematically analyzing diverse outputs of generated codes, VRank reduces errors and enhances the overall quality of the generated Verilog code. Experimental results on the VerilogEval-Human benchmark demonstrate a significant 10.5% average increase in functional correctness (pass@1) across multiple LLMs, demonstrating VRank's effectiveness in improving the accuracy of automated hardware description language generation for complex design tasks.","1948-3295","979-8-3315-0942-2","10.1109/ISQED65160.2025.11014398","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11014398","Large Language Model;Verilog code generation","Codes;Accuracy;Large language models;Manuals;Inspection;Probabilistic logic;Hardware;Cognition;Reliability;Hardware design languages","","7","","35","IEEE","30 May 2025","23-25 April 2025","23-25 April 2025","IEEE","IEEE Conferences"
"SoCDev: SoC Design Automation through TCL Code Generation via LLM-Based Agents","W. Zhao; Y. Gao; L. Shen; Q. Luo","College of Computer Science and Software Engineering, Shenzhen University, Shenzhen, China; College of Computer Science and Software Engineering, Shenzhen University, Shenzhen, China; College of Computer Science and Software Engineering, Shenzhen University, Shenzhen, China; College of Computer Science and Software Engineering, Shenzhen University, Shenzhen, China",2025 International Joint Conference on Neural Networks (IJCNN),"14 Nov 2025","2025","","","1","8","The design of System-on-Chip (SoC) is a complex task that requires considerable effort from designers. Recent advancements in Language Model (LLM)-based agents have brought opportunities to tackle this challenge. In this paper, we introduce SocDev, the first SoC design multi-agent system based on LLM, which can automatically generate SoC designs by creating TCL command scripts for the Vivado Design Suite. Additionally, we have developed SoCDevBench, a test bench to evaluate the capability of different models in generating SoC designs. We conducted experiments using four state-of-the-art LLMs with the test bench, assessing the pass rate, FPGA resource utilization, and logs throughout the process. The ablation study also verify the efficiency of each component. Furthermore, we successfully produced four functional SoCs with microprocessor and operating systems, and validated them using FPGAs. This study opens a new avenue for the generation of SoC designs leveraging LLMs.","2161-4407","979-8-3315-1042-8","10.1109/IJCNN64981.2025.11228763","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11228763","SoC Design;LLM-Based Agents;code generation;TCL","Codes;Design automation;Operating systems;Microprocessors;Neural networks;System-on-chip;Resource management;Field programmable gate arrays;Multi-agent systems","","","","19","IEEE","14 Nov 2025","30 June-5 July 2025","30 June-5 July 2025","IEEE","IEEE Conferences"
"Detecting Data Contamination in Code Generation Benchmarks via DiffMIA","K. Yamashita","Japan Women’s University, Tokyo, Japan",2025 32nd Asia-Pacific Software Engineering Conference (APSEC),"24 Feb 2026","2025","","","1045","1046","Data contamination-where benchmark datasets unintentionally appear in the training datasets of large language models (LLMs)-poses a critical threat to the validity of model evaluation, especially in code generation. Widely used benchmarks such as HumanEval are particularly vulnerable due to their public availability, yet contamination is difficult to verify given the proprietary nature of most training data. Conventional membership inference attacks (MIAs) require uncontaminated reference datasets, which are often unavailable in benchmark datasets. We propose DiffMIA, a novel method for detecting contamination without relying on external clean and untrained data. DiffMIA systematically applies semantics-preserving transformations, such as probabilistic variable renaming using CodeBERT, to generate pseudo-uncontaminated samples. By analyzing the differential loss values between original and transformed code, we infer whether a model has memorized specific benchmark content. Experiments conducted on 7 open-source LLMs demonstrate that DiffMIA can effectively identify contamination patterns. The proposed DiffMIA offers a unique solution to validate the reliability of LLM performance evaluations on code generation benchmarks.","2640-0715","979-8-3315-6653-1","10.1109/APSEC66846.2025.00128","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11396512","Large Language Models;Data Contamination;Membership Inference Attacks;Benchmark;Code Generation","Performance evaluation;Training;Codes;Systematics;Large language models;Training data;Benchmark testing;Data models;Software reliability;Contamination","","","","9","IEEE","24 Feb 2026","2-5 Dec. 2025","2-5 Dec. 2025","IEEE","IEEE Conferences"
"SHERPA: A Model-Driven Framework for Large Language Model Execution","B. Chen; K. Chene; J. A. Hernández López; G. Mussbacher; D. Varró; A. Feizpour","Electrical and Computer Engineering, McGill University, Canada; Electrical and Computer Engineering, McGill University, Canada; Department of Computer Science and Systems, University of Murcia, Spain; Electrical and Computer Engineering, McGill University, Canada; Electrical and Computer Engineering, McGill University, Canada; Aggregate Intellect Inc., Canada",2025 ACM/IEEE 28th International Conference on Model Driven Engineering Languages and Systems (MODELS),"24 Nov 2025","2025","","","197","208","Recently, large language models (LLMs) have achieved widespread application across various fields. Despite their impressive capabilities, LLMs suffer from a lack of structured reasoning ability, particularly for complex tasks requiring domain-specific best practices, which are often unavailable in the training data. Although multi-step prompting methods incorporating human best practices, such as chain-of-thought and tree-of-thought, have gained popularity, they lack a general mechanism to control LLM behavior. In this paper, we propose SHERPA, a model-driven framework to improve the LLM performance on complex tasks by explicitly incorporating domain-specific best practices into hierarchical state machines. By structuring the LLM execution processes using state machines, SHERPA enables more fine-grained control over their behavior via rules or decisions driven by machine learning-based approaches, including LLMs. We show that SHERPA is applicable to a wide variety of tasks-specifically, code generation, class name generation, and question answering-replicating previously proposed approaches while further improving the performance. We demonstrate the effectiveness of SHERPA for the aforementioned tasks using various LLMs. Our systematic evaluation compares different state machine configurations against baseline approaches without state machines. Results show that integrating well-designed state machines significantly improves the quality of LLM outputs, and is particularly beneficial for complex tasks with well-established human best practices but lacking data used for training LLMs.","","979-8-3315-4910-7","10.1109/MODELS67397.2025.00024","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11245380","state machine;large language model;structured reasoning;best practice integration","Training;Systematics;Costs;Large language models;Training data;Process control;Cognition;Question answering (information retrieval);Model driven engineering;Best practices","","","","64","IEEE","24 Nov 2025","5-10 Oct. 2025","5-10 Oct. 2025","IEEE","IEEE Conferences"
"LLM-Based Code Generation: A Systematic Literature Review With Technical and Demographic Insights","Umama; K. Usman Danyaro; M. Nasser; A. Zakari; S. Abdullahi; A. Khanzada; M. Muntasir Yakubu; S. Shoaib","Department of Computing, Faculty of Science, Management and Computing, Universiti Teknologi PETRONAS, Seri Iskandar, Perak, Malaysia; Department of Computing, Faculty of Science, Management and Computing, Universiti Teknologi PETRONAS, Seri Iskandar, Perak, Malaysia; Department of Computing, Faculty of Science, Management and Computing, Universiti Teknologi PETRONAS, Seri Iskandar, Perak, Malaysia; Department of Computer Science, Aliko Dangote University of Science and Technology, Wudil, Kano, Nigeria; Department of Computing, Faculty of Science, Management and Computing, Universiti Teknologi PETRONAS, Seri Iskandar, Perak, Malaysia; Department of Computer Science, Government Girls Degree College, Tharu Shah, Pakistan; Department of Computing, Faculty of Science, Management and Computing, Universiti Teknologi PETRONAS, Seri Iskandar, Perak, Malaysia; Department of Computer Science, Quaid-e-Awam University of Engineering Science and Technology, Nawabshah, Pakistan",IEEE Access,"20 Nov 2025","2025","13","","194915","194939","The rapid emergence of Large Language Models (LLMs) has significantly advanced the field of code generation, sparking growing research interest across both academia and industry. While existing reviews provide foundational insights into LLM-based code generation, they do not provide a comprehensive analysis of recent developments or adequately address the dual perspective of technical and demographic insights. This Systematic Literature Review (SLR) bridges critical gap in existing work by systematically analysing both technical and demographic dimensions of LLM-based code generation. Following a PRISMA-guided methodology 58 studies published between 2020 and 2025 were selected from four major digital libraries. Key findings reveal a sharp rise in evaluation studies and framework-driven contributions. Notably, HumanEval, MBPP and APPS emerged as dominant benchmarks. While functional-correctness metrics particularly pass@k are the most frequently adopted metrics. Moreover, the review uncovers a previously unexamined demographic landscape, highlighting, geographic distribution, institutional collaboration, team size, publishing trends, venue types, and the top 10 highly cited studies from the selected studies. Significantly, a high proportion of selected studies were published in conferences. Several persistent challenges found in existing reviews that hinder the reliability and applicability of LLM-based code generation. These include hallucinations, limited generalizability, security vulnerabilities, and a lack of interpretability. These limitations constrain the robustness, trustworthiness, and scalability of current systems. To address these issues, this review offers actionable insights and strategic guidelines to guide future research, evaluation strategies, and practical implementations in LLM-based code generation.","2169-3536","","10.1109/ACCESS.2025.3631952","Universiti Teknologi PETRONAS through the Yayasan Universiti Teknologi PETRONAS Prototype Research Grant (YUTP-PRG), Grant Titled: “Integration of Metocean Data for Intelligent Operations and Automation using Large Language Models (LLMs)”(grant numbers:015PBC-035); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11242137","LLMs;code completion;generative AI;code generation;program synthesis","Codes;Systematic literature review;Measurement;Security;Market research;Planning;Benchmark testing;Programming;Libraries;Training","","","","104","CCBY","12 Nov 2025","2025","","IEEE","IEEE Journals"
"Requirements Development and Formalization for Reliable Code Generation: A Multi-Agent Vision","X. Lu; W. Sun; Y. Zhang; M. Hu; C. Tian; Z. Jin; Y. Liu","ICTT and ISN Lab, Xidian University, Xi’an, China; Nanyang Technological University, Singapore; Nanyang Technological University, Singapore; Singapore Management University, Singapore; ICTT and ISN Lab, Xidian University, Xi’an, China; Wuhan University, Wuhan, China; Nanyang Technological University, Singapore",2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE),"28 Jan 2026","2025","","","3932","3937","Automated code generation has long been considered the holy grail of software engineering. The emergence of Large Language Models (LLMs) has catalyzed a revolutionary breakthrough in this area. However, existing methods that only rely on LLMs remain inadequate in the quality of generated code, offering no guarantees of satisfying practical requirements. They lack a systematic strategy for requirements development and modeling. Recently, LLM-based agents typically possess powerful abilities and play an essential role in facilitating the alignment of LLM outputs with user requirements. In this paper, we envision the first multi-agent framework for reliable code generation based on Requirements Development and Formalization, named ReDeFo. This framework incorporates three agents, highlighting their augmentation with knowledge and techniques of formal methods, into the requirements-to-code generation pipeline to strengthen quality assurance. The core of ReDeFo is the use of formal specifications to bridge the gap between potentially ambiguous natural language requirements and precise executable code. ReDeFo enables rigorous reasoning about correctness, uncovering hidden bugs, and enforcing critical properties throughout the development process.","2643-1572","979-8-3503-5733-2","10.1109/ASE63991.2025.00345","National Natural Science Foundation of China; Fundamental Research Funds for the Central Universities; National Research Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11334634","automated code generation;formal specification;large language model;multi-agent","Codes;Systematics;Large language models;Pipelines;Semantics;Cognition;Software reliability;Formal specifications;Software engineering;Software development management","","","","47","IEEE","28 Jan 2026","16-20 Nov. 2025","16-20 Nov. 2025","IEEE","IEEE Conferences"
"Green-Code: Learning to Optimize Energy Efficiency in Llm-Based Code Generation","S. Ilager; L. F. Briem; I. Brandic","University of Amsterdam, The Netherlands; TU Wien, Austria; TU Wien, Austria","2025 IEEE 25th International Symposium on Cluster, Cloud and Internet Computing (CCGrid)","30 Jun 2025","2025","","","559","569","Large Language Models (LLMs) are becoming integral to daily life, showcasing their vast potential across various Natural Language Processing (NLP) tasks. Beyond NLP, LLMs are increasingly used in software development tasks, such as code completion, modification, bug fixing, and code translation. Software engineers widely use tools like GitHub Copilot and Amazon Q, streamlining workflows and automating tasks with high accuracy. While the resource and energy intensity of LLM training is often highlighted, inference can be even more resourceintensive over time, as it's a continuous process with a high number of invocations. Therefore, developing resource-efficient alternatives for LLM inference is crucial for sustainability. This work proposes GREEN-CODE, a framework for energy-aware code generation in LLMs. GREEN-CODE performs dynamic early exit during LLM inference. We train a Reinforcement Learning (RL) agent that learns to balance the trade-offs between accuracy, latency, and energy consumption. Our approach is evaluated on two open-source LLMs, Llama 3.2 3B and OPT 2.7 B, using the JavaCorpus and PY150 datasets. Results show that our method reduces the energy consumption between 2350 % on average for code generation tasks without significantly affecting accuracy.","2993-2114","979-8-3315-0934-7","10.1109/CCGRID64434.2025.00068","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11044793","Large Language Models (LLMs);Green AI;Sustainable AI;Code Generation;Pruning;Early Exits","Training;Energy consumption;Adaptation models;Codes;Accuracy;Translation;Computational modeling;Large language models;Natural language processing;Software development management","","2","","38","IEEE","30 Jun 2025","19-22 May 2025","19-22 May 2025","IEEE","IEEE Conferences"
"Next-Gen AI: Architectural Insights into Large Language Models","S. C; A. Anjum; S. M. Hegde","Department of MCA, RV College of Engineering, Bengaluru, India; Department of MCA, RV College of Engineering, Bengaluru, India; Department of MCA, RV College of Engineering, Bengaluru, India",2025 IEEE Silchar Subsection Conference (SILCON),"19 Jan 2026","2025","","","1","5","Transformers have been the backbone of the AI community as it pertains to natural language processing, code generation, and multimodal reasoning. The article offered an analysis of the architectural standing of four major LLMs OpenAI’s Chat GPT, Google’s Gemini, GitHub Copilot, and DeepSeek premising on how, the transformer-based frameworks in developing, have advanced to cover the modern AI requirements. The paper presents the most crucial architectural upgrades such as Mixture-of-Experts (MoE) routing, rotary, and sparse attention, unified multimodal embeddings, and long-context capabilities. The approach of this research was through a step-by step breakdown of various models but the focus was on the architectures indicating how they were transformed to support different tasks. Each model was refitted differently to be able to carry out its core activity: ChatGPT was made to be alignment-aware, Gemini was aimed at the fastest possible scaling speed in terms of latency, Copilot was targeted at real-time code generation, and DeepSeek was changed for work on symbolic math and bilingual generation. Besides, the study elaborated on utilization of the newest approaches like retrieval augmented generation (RAG), external memory, and cross-modal self-attention that improve understanding, mitigate hallucinations, and enable learning of long context. The analysis revealed that LLMs are being radically modified by the aspects of the model that can be reconfigured according to the specific tasks they have to perform. This signifies that the way forward for the greater part of LLMs has shifted from scale to architecture, via the implementation of features such as through the proposed innovations and structural adjustments across the layers of the models.","","979-8-3315-7727-8","10.1109/SILCON67893.2025.11326954","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11326954","Large Language Models;Transformer Architecture;ChatGPT;Gemini;GitHub Copilot;DeepSeek;Multimodal AI;Mixture-of-Experts;RAG","Codes;Large language models;Retrieval augmented generation;Transformers;Chatbots;Real-time systems;Cognition;Mathematical models;Software development management;Context modeling","","","","19","IEEE","19 Jan 2026","6-8 Nov. 2025","6-8 Nov. 2025","IEEE","IEEE Conferences"
"Why Do Developers Engage with ChatGPT in Issue-Tracker? Investigating Usage and Reliance on ChatGPT-Generated Code","J. K. Das; S. Mondal; C. K. Roy","Department of Computer Science, University of Saskatchewan, Canada; Department of Computer Science, University of Saskatchewan, Canada; Department of Computer Science, University of Saskatchewan, Canada","2025 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)","21 May 2025","2025","","","68","79","Large language models (LLMs) like ChatGPT have shown the potential to assist developers with coding and debugging tasks. However, their role in collaborative issue resolution is underexplored. In this study, we analyzed 1,152 Developer-ChatGPT conversations across 1,012 issues in GitHub to examine the diverse usage of ChatGPT and reliance on its generated code. Our contributions are fourfold. First, we manually analyzed 289 conversations to understand ChatGPT's usage in the GitHub Issues. Our analysis revealed that ChatGPT is primarily utilized for ideation, whereas its usage for validation (e.g., code documentation accuracy) is minimal. Second, we applied BERTopic modeling to identify key areas of engagement on the entire dataset. We found that backend issues (e.g., API management) dominate conversations, while testing is surprisingly less covered. Third, we utilized the CPD clone detection tool to check if the code generated by ChatGPT was used to address issues. Our findings revealed that ChatGPT-generated code was used as-is to resolve only 5.83% of the issues. Fourth, we estimated sentiment using a RoBERTa-based sentiment analysis model to determine developers' satisfaction with different usages and engagement areas. We found positive sentiment (i.e., high satisfaction) about using ChatGPT for refactoring and addressing data analytics (e.g., categorizing table data) issues. On the contrary, we observed negative sentiment when using ChatGPT to debug issues and address automation tasks (e.g., GUI interactions). Our findings show the unmet needs and growing dissatisfaction among developers. Researchers and ChatGPT developers should focus on developing task-specific solutions that help resolve diverse issues, improving user satisfaction and problem-solving efficiency in software development.","2640-7574","979-8-3315-3510-0","10.1109/SANER64311.2025.00015","Natural Sciences and Engineering Research Council of Canada (NSERC); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10992523","ChatGPT;Issue Tracker;Dev-GPT Conversation;Code Reliance","Analytical models;Codes;Data analysis;Automation;Collaboration;Oral communication;Debugging;Chatbots;Software development management;Testing","","4","","80","IEEE","21 May 2025","4-7 March 2025","4-7 March 2025","IEEE","IEEE Conferences"
"Unlocking Code Simplicity: The Role of Prompt Patterns in Managing LLM Code Complexity","A. D. Porta; G. Recupito; S. Lambiase; D. Di Nucci; F. Palomba","SeSa Lab, University of Salerno, Italy; SeSa Lab, University of Salerno, Italy; SeSa Lab, University of Salerno, Italy; SeSa Lab, University of Salerno, Italy; SeSa Lab, University of Salerno, Italy","2025 IEEE International Conference on Software Analysis, Evolution and Reengineering - Companion (SANER-C)","8 Dec 2025","2025","","","140","143","The rapid growth of generative artificial intelligence, especially Large Language Models (LLMs), has greatly influenced software engineering by automating code generation tasks. Despite the potential, challenges in code maintainability and quality persist, mainly due to prompt design. This study examines how various prompt patterns influence the complexity of Python code generated by LLMs, using the Dev-Gpt dataset. Four prompt patterns were analyzed: Zero-Shot, Few-Shot, Chain-Of-Thought, and Personas. Complexity metrics assessed include Lines of Code (LOC), Cyclomatic Complexity, and Halstead metrics, with statistical analyses conducted using the Kruskal-Wallis test and post-hoc pairwise comparisons. Results showed significant differences in LOC and related sub-metrics among these prompt patterns. Notably, the Chain-Of-Thought pattern consistently generated more concise and efficient code, offering strategies to enhance LLM-generated code quality and maintainability.","","979-8-3315-3749-4","10.1109/SANER-C66551.2025.00028","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11272157","Prompt Engineering;Prompt Patterns;Code Complexity;Empirical Software Engineering","Measurement;Codes;Statistical analysis;Large language models;Software;Complexity theory;Prompt engineering;Software engineering;Python","","1","","18","IEEE","8 Dec 2025","4-4 March 2025","4-4 March 2025","IEEE","IEEE Conferences"
