"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","Link","Document Type","Publication Stage","Source"
"Döderlein J.-B.; Kouadio N.H.; Acher M.; Khelladi D.E.; Combemale B.","Döderlein, Jean-Baptiste (57956056700); Kouadio, Nguessan Hermann (60029943000); Acher, Mathieu (35758465800); Khelladi, Djamel Eddine (56728591300); Combemale, Benoit (24343217800)","57956056700; 60029943000; 35758465800; 56728591300; 24343217800","Piloting Copilot, Codex, and StarCoder2: Hot temperature, cold prompts, or black magic?","2025","Journal of Systems and Software","230","","112562","","","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012590926&doi=10.1016%2Fj.jss.2025.112562&partnerID=40&md5=2bdec64a248a5199bf4bb974b5f3849e","Article","Final","Scopus"
"Cui Z.; Yuan J.; Wang H.; Li Y.; Du C.; Ding Z.","Cui, Zhiqing (59245096700); Yuan, Jiahao (57202642163); Wang, Hanqing (59238048100); Li, Yanshu (59409272200); Du, Chenxu (59866304400); Ding, Zhenglong (56435151800)","59245096700; 57202642163; 59238048100; 59409272200; 59866304400; 56435151800","Draw with Thought: Unleashing Multimodal Reasoning for Scientific Diagram Generation","2025","MM 2025 - Proceedings of the 33rd ACM International Conference on Multimedia, Co-Located with MM 2025","","","","5050","5059","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024073293&doi=10.1145%2F3746027.3755731&partnerID=40&md5=7c4266e8bc9b4468faaeb952a6537571","Conference paper","Final","Scopus"
"Zampirolli F.D.A.; Teubl F.; Pisani P.H.; Silva T.A.P.E.","Zampirolli, Francisco de Assis (6506728718); Teubl, Fernando (55428004500); Pisani, Paulo Henrique (36810483700); Silva, Thiago Alexandre Paiares e (60256567500)","6506728718; 55428004500; 36810483700; 60256567500","Intelligent Feedback for Individualized Introductory Programming Exercises","2026","Computer Applications in Engineering Education","34","1","e70132","","","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025883105&doi=10.1002%2Fcae.70132&partnerID=40&md5=444ce7406dbe3e5581b2667214c387bf","Article","Final","Scopus"
"Holderried F.; Sonanini A.; Stegemann–Philipps C.; Herrmann–Werner A.; Spitzer P.; Guthoff M.; Heyne N.; Sering K.; Holderried M.; Eisinger F.","Holderried, Friederike (55248264500); Sonanini, Alessandra (56267477200); Stegemann–Philipps, Christian (59526423400); Herrmann–Werner, Anne (57200407507); Spitzer, Philipp (22951538500); Guthoff, Martina (24779607400); Heyne, Nils (6601982410); Sering, Konstantin (55354339100); Holderried, Martin (8418417900); Eisinger, Felix (57204882190)","55248264500; 56267477200; 59526423400; 57200407507; 22951538500; 24779607400; 6601982410; 55354339100; 8418417900; 57204882190","Impact of GPT-4–Generated Discharge Letters on Patients’ Medical Comprehension: Prospective Crossover Study","2026","Journal of Medical Internet Research","28","","e81243","","","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031315901&doi=10.2196%2F81243&partnerID=40&md5=9c88d43ed1ed7536a4631e82ce0878ab","Article","Final","Scopus"
"Roy N.; Horielko O.; Omojokun O.","Roy, Nimisha (57198885549); Horielko, Oleksandr (60189090700); Omojokun, Olufisayo (18233957000)","57198885549; 60189090700; 18233957000","Benchmarking AI Tools for Software Engineering Education: Insights into Design, Implementation, and Testing","2026","SIGCSE TS 2026 - Proceedings of the 57th ACM Technical Symposium on Computer Science Education V.1","","","","957","963","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031898726&doi=10.1145%2F3770762.3772551&partnerID=40&md5=096d827b86f351bc214f9d674ce045b5","Conference paper","Final","Scopus"
"Truong A.; Le P.; Tran H.","Truong, A. (56018155500); Le, Phuong (60285793800); Tran, Hau (60286463800)","56018155500; 60285793800; 60286463800","Java Code Generation Using Prompt Engineering Techniques","2026","International Journal of Software Engineering and Knowledge Engineering","36","6","","873","900","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026785300&doi=10.1142%2FS0218194025500974&partnerID=40&md5=65c439e949d174485fe9b47c6bdc7e6b","Article","Final","Scopus"
"Umair M.M.; Mukala P.","Umair, Muhammad Mahad (60341650100); Mukala, Patrick (56507531700)","60341650100; 56507531700","Generative AI-Driven or AI-Assisted Software Code Generation and the Decline of Community Knowledge Sharing: Challenges and Future Prospects","2026","Lecture Notes in Networks and Systems","1565 LNNS","","","115","125","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027936591&doi=10.1007%2F978-981-95-0375-9_10&partnerID=40&md5=959e0cb0fc2623370179f9edb822b03f","Conference paper","Final","Scopus"
"Yang H.; Deng Z.; Zhang W.; Zhao Z.; Wang G.; Choi K.-S.","Yang, Hailong (58982882000); Deng, Zhaohong (55265314000); Zhang, Wei (57775310200); Zhao, Zhuangzhuang (57222317655); Wang, Guanjin (56681496200); Choi, Kup-Sze (57191030846)","58982882000; 55265314000; 57775310200; 57222317655; 56681496200; 57191030846","Generative Fuzzy System for Sequence-to-Sequence Learning via Rule-Based Inference","2026","IEEE Transactions on Neural Networks and Learning Systems","37","3","","1435","1448","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020420179&doi=10.1109%2FTNNLS.2025.3615650&partnerID=40&md5=9126eead2d742e8ea44b6a72c9f6f0f2","Article","Final","Scopus"
"Yan Y.-M.; Chen C.-Q.; Hu Y.-B.; Ye X.-D.","Yan, Yi-Miao (59347315200); Chen, Chuang-Qi (57742367600); Hu, Yang-Bang (59725642400); Ye, Xin-Dong (50662270000)","59347315200; 57742367600; 59725642400; 50662270000","LLM-based collaborative programming: impact on students’ computational thinking and self-efficacy","2025","Humanities and Social Sciences Communications","12","1","149","","","17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004703700&doi=10.1057%2Fs41599-025-04471-1&partnerID=40&md5=0475ec0a6a7cfdc772c7ade0bd6c8df4","Article","Final","Scopus"
"Zhang H.; Li A.; Kuai Z.; Wei Z.; Kuang L.; Xia Y.","Zhang, Hanxiao (60064941400); Li, Anqi (60065102800); Kuai, Zhirui (57361561300); Wei, Zhao (58344389400); Kuang, Li (36519008400); Xia, Yingjie (59962795100)","60064941400; 60065102800; 57361561300; 58344389400; 36519008400; 59962795100","Repository-Level Code Generation Method Enhanced by Context-Dependent Graph Retrieval","2026","Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering, LNICST","626 LNICST","","","42","61","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014126421&doi=10.1007%2F978-3-031-93257-1_3&partnerID=40&md5=462bb8c52cdd886314ef0f55a1d54473","Conference paper","Final","Scopus"
"Liu X.; Li X.; Yao J.; Liu Y.; Fan Q.; Sun H.; Dong C.","Liu, Xin (60375098600); Li, Xiaojun (57201114474); Yao, Junping (56309094100); Liu, Yanfei (55742139300); Fan, Qinggang (55357582900); Sun, Haifeng (59559449300); Dong, Chengrong (58303621400)","60375098600; 57201114474; 56309094100; 55742139300; 55357582900; 59559449300; 58303621400","CGEM: A cognitive-guided network for human-aligned entity matching","2026","Neurocomputing","675","","132950","","","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029558305&doi=10.1016%2Fj.neucom.2026.132950&partnerID=40&md5=6ef6384ef417593db8ee77f64eb17c64","Article","Final","Scopus"
"Yi H.","Yi, Huiyan (60250352500)","60250352500","Progressive Laboratory Teaching Based on Data-oriented Thinking and Cognitive Load Regulation Empowered by AI","2025","Proceedings of The 2nd International Conference on Intelligent Education and Computer Technology, IECT 2025","","","","178","188","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025572246&doi=10.1145%2F3764206.3764233&partnerID=40&md5=dbf91f4478fe2351ef8ca62de0afec48","Conference paper","Final","Scopus"
"Billah M.M.; Rahman M.S.; Roy B.","Billah, Md Mustakim (59338355400); Rahman, Md Shamimur (58777789500); Roy, Banani (15064838600)","59338355400; 58777789500; 15064838600","Do Automatic Comment Generation Techniques Fall Short? Exploring the Influence of Method Dependencies on Code Understanding","2025","Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering , EASE, 2025 edition, EASE 2025","","","","169","180","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027184501&doi=10.1145%2F3756681.3756977&partnerID=40&md5=37a6ef2c016760c96c7d33dc3de2ba61","Conference paper","Final","Scopus"
"Jabrw S.K.; Sarhan Q.I.","Jabrw, Sardar K. (60080280100); Sarhan, Qusay I. (54584292000)","60080280100; 54584292000","Evaluating Large Language Models for Arduino Code Generation","2026","ARO-The Scientific Journal of Koya University","14","1","ARO.12344","75","85","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029732647&doi=10.14500%2Faro.12344&partnerID=40&md5=0c38081b6d7826bb04160a906aaf04bb","Article","Final","Scopus"
"Geng M.; Zhang Z.; Du P.; Yin X.; Chen H.; Liu B.; Shi Z.","Geng, Mingyang (57204642410); Zhang, Zizhao (60432227700); Du, Ping (60432603700); Yin, Xiangyuan (60432374900); Chen, Hongyang (59366265900); Liu, Bo (56202514900); Shi, Zhenshun (57200108807)","57204642410; 60432227700; 60432603700; 60432374900; 59366265900; 56202514900; 57200108807","Optimizing Class-Level Code Generation: Enhancing In-Context Learning in Large Language Models with Pruning Techniques","2026","Proceedings of 2025 International Conference on Artificial Intelligence and Sustainable Development, ICAISD 2025","","","","438","446","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031646749&doi=10.1145%2F3786484.3786551&partnerID=40&md5=395bf98503e9ea44cf9aa4ccb4b023c2","Conference paper","Final","Scopus"
"Muraleedharan P.; Ravi N.; Pradeepkumar R.; Rajan P.S.; Nagilla A.","Muraleedharan, Prathilothamai (60346057700); Ravi, Nitin (59225545600); Pradeepkumar, Rishi (59129311700); Rajan, P. Sajith (60346057800); Nagilla, Anurag (60345502400)","60346057700; 59225545600; 59129311700; 60346057800; 60345502400","Code Reviews Using Traditional Methods vs Hybrid Models","2026","Lecture Notes in Networks and Systems","1750 LNNS","","","100","107","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028334464&doi=10.1007%2F978-3-032-12993-2_11&partnerID=40&md5=ea26508478f32f1abe15937b49cecc70","Conference paper","Final","Scopus"
"Fan J.","Fan, Jing (60012648900)","60012648900","Large Language Models for Personalized and Scalable Computer Education","2025","Proceedings of 25th International Conference on Computing Education Research, Koli Calling 2025","","","22","","","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022872825&doi=10.1145%2F3769994.3770045&partnerID=40&md5=803ab0185c8ac7e8fa3f96794cbf2b9f","Conference paper","Final","Scopus"
"Tscholl D.W.; Ebensperger M.; RahrischRahrisch A.; Wang H.; Heckel H.; Thomasius M.; Kaserer A.; Grande B.; Seelandt J.C.; Kolbe M.","Tscholl, David W. (56856697800); Ebensperger, Max (58968282900); RahrischRahrisch, Arend (60407238200); Wang, Helius (60201830700); Heckel, Hubert (60202031000); Thomasius, Max (36191401100); Kaserer, Alexander (57189361439); Grande, Bastian (45961287100); Seelandt, Julia C. (55341894500); Kolbe, Michaela (35198284900)","56856697800; 58968282900; 60407238200; 60201830700; 60202031000; 36191401100; 57189361439; 45961287100; 55341894500; 35198284900","Generative AI in simulation debriefings: an exploratory study using the Team-FIRST framework and qualitative feedback from simulation experts and learners","2026","Advances in Simulation","11","1","14","","","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030586918&doi=10.1186%2Fs41077-026-00407-0&partnerID=40&md5=defa00fa38f1a024f3b3b42af6b3147e","Article","Final","Scopus"
"Liang C.; Zhao Y.; Mo R.","Liang, Chang (60439208700); Zhao, Yuqi (57193552778); Mo, Ran (55892902900)","60439208700; 57193552778; 55892902900","DEIMerge: An Automatic Program Repair Framework Based on Multi-agent Collaboration and Intelligent Patch Merging","2026","Lecture Notes in Computer Science","16454 LNAI","","","231","246","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105032048296&doi=10.1007%2F978-981-95-7081-2_16&partnerID=40&md5=705bd7b26cdc08a7924ed5c62b6d6ea3","Conference paper","Final","Scopus"
